latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
32.22112,-103.5283,296.49,0.51,0.49,2025-02-15,0913,N,nominal,2.0NRT,277.31,1.07,N
32.28183,-104.07995,309.96,0.48,0.48,2025-02-15,0913,N,nominal,2.0NRT,278.81,0.94,N
31.79132,-102.0096,296.9,0.32,0.54,2025-02-15,0913,N,nominal,2.0NRT,276.34,1.65,N
34.42852,-118.64742,296.85,0.47,0.48,2025-02-15,0913,N,nominal,2.0NRT,274.12,0.45,N
33.41951,-110.85867,325.57,0.39,0.36,2025-02-15,0913,N,nominal,2.0NRT,277.43,2.13,N
33.41621,-110.85942,331.12,0.39,0.36,2025-02-15,0913,N,nominal,2.0NRT,282.8,8.54,N
33.41292,-110.86017,298.49,0.39,0.36,2025-02-15,0913,N,nominal,2.0NRT,277.46,8.54,N
33.41225,-110.85606,303.76,0.39,0.36,2025-02-15,0913,N,nominal,2.0NRT,278.41,0.95,N
31.98583,-103.71687,296.12,0.51,0.49,2025-02-15,0913,N,nominal,2.0NRT,275.42,0.49,N
31.56206,-102.25977,305.7,0.62,0.54,2025-02-15,0913,N,nominal,2.0NRT,277.35,1.48,N
34.15109,-118.19312,302.19,0.44,0.46,2025-02-15,0913,N,nominal,2.0NRT,273.89,0.65,N
34.15362,-118.19451,307.24,0.44,0.46,2025-02-15,0913,N,nominal,2.0NRT,273.85,1.01,N
31.79832,-103.92677,298.35,0.5,0.49,2025-02-15,0913,N,nominal,2.0NRT,280.71,0.89,N
31.83134,-104.23855,306.57,0.48,0.48,2025-02-15,0913,N,nominal,2.0NRT,280.89,0.66,N
33.79341,-117.4745,302.55,0.4,0.44,2025-02-15,0913,N,nominal,2.0NRT,278.34,0.73,N
33.71576,-117.71099,299.61,0.41,0.45,2025-02-15,0913,N,nominal,2.0NRT,278.29,0.77,N
31.9645,-106.5842,300.34,0.54,0.42,2025-02-15,0913,N,nominal,2.0NRT,279.8,1.53,N
33.61225,-117.82562,297.26,0.42,0.45,2025-02-15,0913,N,nominal,2.0NRT,277.69,0.54,N
31.28768,-103.67693,296.71,0.53,0.5,2025-02-15,0913,N,nominal,2.0NRT,278.46,1.18,N
33.49282,-117.61802,295.58,0.41,0.45,2025-02-15,0913,N,nominal,2.0NRT,278.6,0.6,N
32.89747,-115.4846,337.15,0.47,0.4,2025-02-15,0913,N,nominal,2.0NRT,287.82,29.83,N
32.85651,-117.02859,297.88,0.56,0.43,2025-02-15,0913,N,nominal,2.0NRT,279.6,1.15,N
32.85781,-117.14579,296.6,0.57,0.43,2025-02-15,0913,N,nominal,2.0NRT,277.6,0.3,N
32.37238,-117.06732,304.68,0.55,0.43,2025-02-15,0913,N,nominal,2.0NRT,282.08,1.3,N
30.49812,-109.62899,328.15,0.42,0.38,2025-02-15,0913,N,nominal,2.0NRT,280.41,28.05,N
30.4947,-109.62981,328.22,0.42,0.38,2025-02-15,0913,N,nominal,2.0NRT,288.46,28.05,N
29.64457,-108.18703,303.05,0.49,0.4,2025-02-15,0913,N,nominal,2.0NRT,276.15,1.11,N
28.68415,-106.08635,310.9,0.43,0.46,2025-02-15,0913,N,nominal,2.0NRT,284.45,0.98,N
29.05056,-110.71497,295.84,0.4,0.37,2025-02-15,0913,N,nominal,2.0NRT,284.08,0.3,N
29.04463,-111.49745,305.09,0.39,0.36,2025-02-15,0913,N,nominal,2.0NRT,283.72,0.94,N
28.92918,-110.82821,300.36,0.4,0.37,2025-02-15,0913,N,nominal,2.0NRT,286,0.84,N
28.18199,-108.64151,304.32,0.49,0.4,2025-02-15,0913,N,nominal,2.0NRT,281.86,1.11,N
28.1783,-108.6423,306.03,0.49,0.4,2025-02-15,0913,N,nominal,2.0NRT,282.47,2.04,N
28.17373,-108.63838,308.05,0.49,0.4,2025-02-15,0913,N,nominal,2.0NRT,282.79,1.84,N
27.03019,-103.37248,299.84,0.34,0.56,2025-02-15,0913,N,nominal,2.0NRT,279.85,0.66,N
27.14757,-104.96883,312.5,0.54,0.51,2025-02-15,0915,N,nominal,2.0NRT,276.25,2.93,N
27.14573,-104.97075,308.44,0.54,0.51,2025-02-15,0915,N,nominal,2.0NRT,276.44,1.85,N
25.72002,-100.30349,295.67,0.55,0.68,2025-02-15,0915,N,nominal,2.0NRT,277.13,0.84,N
25.69887,-100.2985,299.82,0.55,0.68,2025-02-15,0915,N,nominal,2.0NRT,277.58,0.88,N
25.75429,-100.54504,297.87,0.53,0.67,2025-02-15,0915,N,nominal,2.0NRT,278.69,0.94,N
25.48981,-103.39674,304.39,0.36,0.58,2025-02-15,0915,N,nominal,2.0NRT,277.49,0.58,N
25.48609,-103.39684,298.65,0.36,0.58,2025-02-15,0915,N,nominal,2.0NRT,278.35,0.48,N
22.69236,-105.09174,316.34,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,281.92,2.1,N
22.69166,-105.08857,308.35,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,284.26,1.44,N
22.69099,-105.08554,311.71,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,285.21,1.44,N
22.68969,-105.07967,317.65,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,284.52,1.96,N
22.69318,-105.08985,321.68,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,283.58,2.15,N
22.6906,-105.07781,306.57,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,283.69,0.84,N
22.68751,-105.088,317.25,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,283.06,2.15,N
22.68686,-105.08497,316.99,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,285.22,2.24,N
